Source,Destination,lat1,lon1,lat2,lon2
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Canada,Canada,56.130366,-106.346771,56.130366,-106.346771
Djibouti,United Arab Emirates,11.825138,42.590275,23.424076,53.847818
Djibouti,Saudi Arabia,11.825138,42.590275,23.885942,45.079162
Djibouti,Somalia,11.825138,42.590275,5.152149,46.199616
Somalia,Kenya,5.152149,46.199616,-0.023559,37.906193
Kenya,Somalia,-0.023559,37.906193,5.152149,46.199616
Thailand,Singapore,15.870032,100.992541,1.352083,103.819836
Australia,Singapore,-25.274398,133.775136,1.352083,103.819836
China,Singapore,35.86166,104.195397,1.352083,103.819836
China,Singapore,35.86166,104.195397,1.352083,103.819836
Hong Kong,Singapore,22.396428,114.109497,1.352083,103.819836
Thailand,Singapore,15.870032,100.992541,1.352083,103.819836
Japan,Philippines,36.204824,138.252924,12.879721,121.774017
Japan,Taiwan,36.204824,138.252924,23.69781,120.960515
Malaysia,Singapore,4.210484,101.975766,1.352083,103.819836
Philippines,Japan,12.879721,121.774017,36.204824,138.252924
Philippines,Singapore,12.879721,121.774017,1.352083,103.819836
Malaysia,Singapore,4.210484,101.975766,1.352083,103.819836
Australia,Singapore,-25.274398,133.775136,1.352083,103.819836
Cambodia,Singapore,12.565679,104.990963,1.352083,103.819836
Cambodia,Singapore,12.565679,104.990963,1.352083,103.819836
Burma,Singapore,21.913965,95.956223,1.352083,103.819836
Vietnam,Singapore,14.058324,108.277199,1.352083,103.819836
Singapore,Thailand,1.352083,103.819836,15.870032,100.992541
Singapore,Australia,1.352083,103.819836,-25.274398,133.775136
Singapore,China,1.352083,103.819836,35.86166,104.195397
Singapore,China,1.352083,103.819836,35.86166,104.195397
Singapore,Hong Kong,1.352083,103.819836,22.396428,114.109497
Singapore,Thailand,1.352083,103.819836,15.870032,100.992541
Singapore,Malaysia,1.352083,103.819836,4.210484,101.975766
Singapore,Philippines,1.352083,103.819836,12.879721,121.774017
Singapore,Malaysia,1.352083,103.819836,4.210484,101.975766
Singapore,Australia,1.352083,103.819836,-25.274398,133.775136
Singapore,Cambodia,1.352083,103.819836,12.565679,104.990963
Singapore,Cambodia,1.352083,103.819836,12.565679,104.990963
Singapore,Burma,1.352083,103.819836,21.913965,95.956223
Singapore,Vietnam,1.352083,103.819836,14.058324,108.277199
Singapore,China,1.352083,103.819836,35.86166,104.195397
Singapore,Taiwan,1.352083,103.819836,23.69781,120.960515
China,Singapore,35.86166,104.195397,1.352083,103.819836
Taiwan,Japan,23.69781,120.960515,36.204824,138.252924
Taiwan,Singapore,23.69781,120.960515,1.352083,103.819836
Switzerland,Italy,46.818188,8.227512,41.87194,12.56738
Germany,Switzerland,51.165691,10.451526,46.818188,8.227512
Germany,Germany,51.165691,10.451526,51.165691,10.451526
Italy,Switzerland,41.87194,12.56738,46.818188,8.227512
Italy,Germany,41.87194,12.56738,51.165691,10.451526
Italy,Germany,41.87194,12.56738,51.165691,10.451526
Italy,Switzerland,41.87194,12.56738,46.818188,8.227512
Germany,Germany,51.165691,10.451526,51.165691,10.451526
Germany,Italy,51.165691,10.451526,41.87194,12.56738
Germany,Germany,51.165691,10.451526,51.165691,10.451526
Germany,Italy,51.165691,10.451526,41.87194,12.56738
Germany,Croatia,51.165691,10.451526,45.1,15.2
Germany,Italy,51.165691,10.451526,41.87194,12.56738
Austria,Switzerland,47.516231,14.550072,46.818188,8.227512
Germany,Germany,51.165691,10.451526,51.165691,10.451526
Germany,Italy,51.165691,10.451526,41.87194,12.56738
Italy,Germany,41.87194,12.56738,51.165691,10.451526
Italy,Germany,41.87194,12.56738,51.165691,10.451526
Austria,Switzerland,47.516231,14.550072,46.818188,8.227512
Croatia,Germany,45.1,15.2,51.165691,10.451526
Switzerland,Germany,46.818188,8.227512,51.165691,10.451526
Switzerland,Italy,46.818188,8.227512,41.87194,12.56738
Switzerland,Austria,46.818188,8.227512,47.516231,14.550072
Switzerland,Austria,46.818188,8.227512,47.516231,14.550072
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
United States,United States,37.09024,-95.712891,37.09024,-95.712891
Bahamas,United States,25.03428,-77.39628,37.09024,-95.712891
